Customer_ID,Customer_Name,Email,Phone,City,State,Country,Customer_Type,Status,Created_Date
C1001,Vikram Patel,vikrampatel1000@example.com,9590807619,Hyderabad,Telangana,India,Retail,Active,2025-01-01
C1002,Nikhil Das,nikhildas1001@example.com,,Bengaluru,Karnataka,India,Corporate,Active,2025-01-02
C1003,Neha Mishra,nehamishra1002@example.com,9484152873,Delhi,Delhi,India,Corporate,Active,2025-01-03
C1004,Vikram Iyer,vikramiyer1003@example.com,8177511078,Mumbai,Maharashtra,India,Corporate,Inactive,2025-01-04
C1005,Manoj Verma,manojverma1004@example.com,,Noida,Uttar Pradesh,India,SMB,Active,2025-01-05
C1006,Suresh Das,sureshdas1005@example.com,8137717283,Chennai,Tamil Nadu,India,Wholesale,Active,2025-01-06
C1007,Sneha Gupta,snehagupta1006@example.com,7367899367,Chennai,Tamil Nadu,India,Retail,Inactive,2025-01-07
C1008,Arjun Rao,arjunrao1007@example.com,9771498724,Ahmedabad,Gujarat,India,Corporate,Active,2025-01-08
C1009,Priya Gupta,priyagupta1008@example.com,9558729891,Bengaluru,Karnataka,India,Retail,Active,2025-01-09
C1010,Divya Mehta,divyamehta1009@example.com,7824063874,Chennai,Tamil Nadu,India,SMB,Active,2025-01-10
C1011,Ananya Sharma,ananyasharma1010@example.com,8723088968,Ahmedabad,Gujarat,India,Corporate,Active,2025-01-11
C1012,Ravi Joshi,ravijoshi1011@example.com,8388870279,Hyderabad,Telangana,India,SMB,Inactive,2025-01-12
C1013,Divya Naidu,divyanaidu1012@example.com,8576064352,Mumbai,Maharashtra,India,Wholesale,Active,2025-01-13
C1014,Rohan Das,rohandas1013@example.com,7973481850,mumbai,Maharashtra,India,SMB,Active,2025-01-14
C1015,Pooja Joshi,poojajoshi1014@example.com,8475580997,Noida,Uttar Pradesh,India,SMB,Active,2025-01-15
C1016,Kavya Nair,kavyanair1015@example.com,8524697512,pune,Maharashtra,India,Wholesale,Inactive,2025-01-16
C1017,Nikhil Mehta,nikhilmehta1016@example.com,9650663910,Chennai,Tamil Nadu,India,Retail,Active,2025-01-17
C1018,Manoj Joshi,manojjoshi1017@example.com,7298173123,Hyderabad,Telangana,India,Wholesale,Inactive,2025-01-18
C1019,Isha Naidu,ishanaidu1018@example.com,8900136204,Vijayawada,Andhra Pradesh,India,Wholesale,Active,2025-01-19
C1020,Arjun Singh,arjunsingh1019@example.com,9229344816,Chennai,Tamil Nadu,India,SMB,Active,2025-01-20
C1021,Manoj Verma,manojverma1020@example.com,7290393729,Bengaluru,Karnataka,India,Retail,Active,2025-01-21
C1022,Kiran Verma,kiranverma1021@example.com,9875921339,Pune,Maharashtra,India,Corporate,Inactive,2025-01-22
C1023,Swathi Patel,,7300353963,Chennai,Tamil Nadu,India,Wholesale,Active,2025-01-23
C1024,Meera Sharma,meerasharma1023@example.com,8003785754,Hyderabad,Telangana,India,Retail,Active,2025-01-24
C1025,Kiran Iyer,kiraniyer1024@example.com,9749501599,Chennai,Tamil Nadu,India,Wholesale,Inactive,2025-01-25
C1026,Priya Patel,priyapatel1025@example.com,9319333524,Bengaluru,Karnataka,India,Wholesale,Inactive,2025-01-26
C1027,Nikhil Joshi,nikhiljoshi1026@example.com,8164569351,Vijayawada,Andhra Pradesh,India,Wholesale,Active,2025-01-27
C1028,Vikram Joshi,vikramjoshi1027@example.com,9546108103,Delhi,Delhi,India,Wholesale,Active,2025-01-28
C1029,Neha Nair,nehanair1028@example.com,9795497009,Kolkata,West Bengal,India,SMB,Active,2025-01-29
C1030,Arjun Mehta,arjunmehta1029@example.com,9921144386,Vijayawada,Andhra Pradesh,India,Retail,Inactive,2025-01-30
C1031,Rohan Patel,rohanpatel1030@example.com,9289036277,Ahmedabad,Gujarat,India,Retail,Active,2025-01-31
C1032,Swathi Gupta,swathigupta1031@example.com,7991403819,Chennai,Tamil Nadu,India,Retail,Active,2025-02-01
C1033,Sneha Sharma,snehasharma1032@example.com,8393002876,Mumbai,Maharashtra,India,Wholesale,Active,2025-02-02
C1034,Ananya Rao,ananyarao1033@example.com,8962192953,Noida,Uttar Pradesh,India,SMB,Active,2025-02-03
C1035,Pooja Patel,poojapatel1034@example.com,8430232322,Mumbai,Maharashtra,India,Wholesale,Active,2025-02-04
C1036,Swathi Iyer,swathiiyer1035@example.com,7817439061,Vijayawada,Andhra Pradesh,India,wholesale,Active,2025-02-05
C1037,Divya Sharma,divyasharma1036@example.com,9875424581,Mumbai,Maharashtra,India,Retail,Active,2025-02-06
C1038,Pooja Mehta,poojamehta1037@example.com,7224793729,Hyderabad,Telangana,India,Wholesale,Active,2025-02-07
C1039,Sneha Mehta,snehamehta1038@example.com,8625543851,Mumbai,Maharashtra,India,Corporate,Active,2025-02-08
C1040,Kavya Nair,kavyanair1039@example.com,9842577665,Pune,Maharashtra,India,Wholesale,Active,2025-02-09
C1041,Neha Mehta,nehamehta1040@example.com,8558833765,Delhi,Delhi,India,Corporate,Inactive,2025-02-10
C1042,Neha Singh,nehasingh1041@example.com,9395661520,Chennai,Tamil Nadu,India,Wholesale,Active,2025-02-11
C1043,Kavya Mishra,kavyamishra1042@example.com,8917068758,Mumbai,Maharashtra,India,SMB,Inactive,2025-02-12
C1044,Swathi Nair,swathinair1043@example.com,8998042909,Bengaluru,Karnataka,India,SMB,Inactive,2025-02-13
